CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount,DayNightUsage,SkinType,MaximumUsageDuration,ProductVolume,ProductRating,ReviewCount,ProductForm,TargetDemographic,IngredientCount,PackagingType,RecyclablePackaging,Certifications
2765,Rimmel - London Moisture Renew Lipstick,5666.0,Vintage Pink,171,Coty,Rimmel - London,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,773,79-81-2,4440,"Retinol/retinyl esters, when in daily dosages in excess of 10,000 IU, or 3,000 retinol equivalents.",10/08/2009,12/01/2011,2000-01-01,10/08/2009,10/08/2009,2000-01-01,2,Both,Dry,12 months,50ml,5.0,2957.0,liquid,Men,18.0,bottle,No,None
25247,Camera Shy,,,1035,Nail Alliance - Entity,Entity,59,Nail Products,168,UV Gel Nail Polish,656,13463-67-7,39037,Titanium dioxide,01/26/2015,01/26/2015,2000-01-01,01/26/2015,01/26/2015,2000-01-01,1,Both,Oily,12 months,100ml,2.0,1803.0,powder,Teens,18.0,jar,Yes,Eco-Friendly
4567,TEINT ULTRA-PRODIGIEUX N�01 FAIR SKIN-HEALTHY GLOW TINTED CARE,,,200,LABORATOIRE NUXE,NUXE,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,8183,Titanium dioxide,10/14/2009,03/02/2017,2000-01-01,10/14/2009,10/14/2009,2000-01-01,1,Night,Oily,36 months,100ml,5.0,745.0,cream,Women,12.0,box,Yes,Cruelty-Free
6242,Lancome Color Ideal Pressed Powder Precise Match Skin Perfecting Pressed Powder,10829.0,Deep 20 w,67,L'Oreal USA,Lancome,44,Makeup Products (non-permanent),49,Face Powders,656,13463-67-7,10154,Titanium dioxide,10/23/2009,12/30/2010,2000-01-01,10/23/2009,10/23/2009,2000-01-01,1,Day,Normal,36 months,50ml,3.0,1324.0,powder,Children,5.0,box,No,None
11771,COLOR SHOCK GLOSS_VERACRUZ (BRONZE),17015.0,Mica,297,"Ivy Enterprises, Inc.",KISS NEW YORK,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,17172,Titanium dioxide,06/01/2010,12/30/2010,2000-01-01,06/01/2010,06/01/2010,2000-01-01,1,Night,Oily,24 months,50ml,5.0,2426.0,liquid,Men,29.0,box,Yes,None
41200,L'Or�al Paris Masque huile extraordinaire Curl,,,67,L'Oreal USA,L'OREAL PARIS,18,Hair Care Products (non-coloring),31,Other Hair Care Product,656,13463-67-7,67490,Titanium dioxide,02/28/2020,02/28/2020,2000-01-01,02/28/2020,02/28/2020,2000-01-01,1,Both,Sensitive,36 months,15g,3.0,4599.0,liquid,Men,24.0,tube,Yes,Vegan
34002,High Potency Classics Firming Evening Repair,,,1241,Perricone MD,Perricone MD,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),958,68-26-8,55023,Retinol,08/20/2018,08/30/2019,2000-01-01,08/20/2018,08/20/2018,2000-01-01,1,Night,Oily,24 months,30g,3.0,793.0,solid,Men,5.0,bottle,Yes,None
6667,Lip Frosting,,,246,"Bonne Bell, LLC",Smackers,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,10616,Titanium dioxide,11/03/2009,11/09/2009,2000-01-01,11/03/2009,11/03/2009,2000-01-01,1,Day,Normal,36 months,30g,3.0,3350.0,solid,Adults,27.0,box,No,Eco-Friendly
3116,ROUND LIPSTICK,6175.0,COPPER BROWN,30,"NYX Los Angeles, Inc.",NYX,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,5331,Titanium dioxide,10/09/2009,12/30/2010,2000-01-01,10/09/2009,10/09/2009,2000-01-01,2,Both,Sensitive,24 months,50ml,3.0,3752.0,solid,Adults,11.0,jar,Yes,None
23661,NARS Audacious Lipstick,35993.0,Natalie,352,Nars Cosmetics,NARS,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,36122,Titanium dioxide,09/25/2014,11/29/2018,2000-01-01,09/27/2014,09/27/2014,2000-01-01,1,Night,Oily,36 months,200ml,5.0,1411.0,cream,Children,8.0,tube,Yes,None
3719,Beauty Spiral Compact Concealer,7361.0,Lemon,192,"Physicians Formula Holdings, Inc.",Physicians Formula,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,6598,Titanium dioxide,10/12/2009,12/30/2010,12/31/2008,10/12/2009,10/12/2009,2000-01-01,1,Night,Normal,24 months,100ml,5.0,3093.0,powder,Children,17.0,jar,No,Organic
20598,LE PRISME BLUSH - POWDER BLUSH - RADIANT COLOR - 4 COLORS,30238.0,26 - Fashionista Brown,373,LVMH FRAGRANCE BRANDS,LVMH FRAGRANCE BRANDS,44,Makeup Products (non-permanent),45,Blushes ,656,13463-67-7,31187,Titanium dioxide,08/22/2013,08/22/2013,2000-01-01,08/22/2013,08/22/2013,2000-01-01,1,Day,Normal,12 months,15g,2.0,3252.0,powder,Women,11.0,box,No,Eco-Friendly
2644,CANDY GLITTER LINER,4925.0,DISCO QUEEN,30,"NYX Los Angeles, Inc.",NYX,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,4100,Titanium dioxide,10/07/2009,12/30/2010,2000-01-01,10/07/2009,10/07/2009,2000-01-01,1,Both,Oily,12 months,100ml,1.0,439.0,solid,Men,2.0,tube,No,Vegan
36760,One Fine Line Microliner,58765.0,True Navy,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,60086,Titanium dioxide,03/07/2019,04/17/2019,2000-01-01,03/07/2019,03/07/2019,2000-01-01,1,Night,Normal,24 months,100ml,1.0,4894.0,solid,Men,21.0,box,Yes,None
29812,MAVALA LIPSTICK,46625.0,CLIVIA,1149,MAVALA S.A.,MAVALA,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,48768,Titanium dioxide,04/03/2017,08/26/2019,2000-01-01,04/25/2017,04/25/2017,2000-01-01,2,Day,Sensitive,24 months,15g,1.0,2306.0,powder,Men,17.0,bottle,Yes,Eco-Friendly
15116,Eye Colour,21164.0,Blazing Star,562,The Boots Company PLC,Boots Botanics,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,23190,Titanium dioxide,08/20/2010,10/16/2013,10/21/2011,08/20/2010,10/21/2011,2000-01-01,1,Night,Dry,24 months,30g,4.0,4929.0,liquid,Children,25.0,box,No,Eco-Friendly
9093,TRICOLOUR LIPGLASS,14983.0,SUPERFLASH!,404,MAKEUP ART COSMETICS,MAC,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,13993,Titanium dioxide,12/18/2009,12/30/2010,2000-01-01,12/18/2009,12/18/2009,2000-01-01,1,Both,Oily,24 months,30g,2.0,2124.0,cream,Children,20.0,jar,No,None
38698,Revlon Super Lustrous Creme Lipstick Restage,61314.0,BERRY RICH,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,63466,Titanium dioxide,08/16/2019,08/16/2019,2000-01-01,08/16/2019,08/16/2019,2000-01-01,1,Night,Normal,36 months,30g,1.0,4768.0,gel,Women,14.0,box,No,Organic
23194,Disappearing Ink,35394.0,Tan,226,purminerals,purminerals,44,Makeup Products (non-permanent),50,Foundations and Bases,957,11103-57-4,35322,Vitamin A,08/04/2014,08/04/2014,2000-01-01,08/04/2014,08/04/2014,2000-01-01,3,Day,Oily,24 months,50ml,2.0,82.0,gel,Women,9.0,box,Yes,None
26280,SHISEIDO THE MAKEUP STICK FOUNDATION,39849.0,I00,1011,Shiseido Americas Corporation,SHISEIDO,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,41500,Titanium dioxide,05/22/2015,06/01/2015,2000-01-01,05/22/2015,05/22/2015,2000-01-01,1,Both,Dry,12 months,15g,5.0,3054.0,liquid,Children,22.0,box,No,None
40042,Pixel Perfect Concealer,62276.0,Tan 1,1332,Stila Style LLC.,Stila Cosmetics,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,65656,Titanium dioxide,10/08/2019,10/16/2019,2000-01-01,10/16/2019,10/16/2019,2000-01-01,1,Night,Normal,12 months,15g,2.0,3297.0,liquid,Adults,5.0,tube,Yes,None
3057,SATSUMA FOAMING BATH,,,77,"Buth-na-Bodhaige, Inc",The Body Shop,6,Bath Products,9,Bubble and Foam Bath Products,656,13463-67-7,33902,Titanium dioxide,10/09/2009,02/18/2014,02/11/2011,02/18/2014,02/18/2014,2000-01-01,2,Night,Oily,12 months,100ml,3.0,1497.0,powder,Men,7.0,tube,Yes,None
9941,ApraCare Foaming Shampoo / Body Wash,15464.0,FD & C Yellow 5,421,"Central Solutions, Inc.",DermaCen,18,Hair Care Products (non-coloring),25,Hair Shampoos (making a cosmetic claim) ,162,68603-42-9,14951,Cocamide diethanolamine,01/27/2010,06/10/2019,2000-01-01,01/27/2010,06/03/2019,06/10/2013,0,Both,Oily,12 months,100ml,4.0,2129.0,liquid,Men,16.0,box,No,Eco-Friendly
23666,NAIL POLISH,36013.0,Nude Elegance,813,Alessandro International GmbH,alessandro International,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,36135,Titanium dioxide,09/28/2014,10/21/2014,2000-01-01,09/28/2014,09/28/2014,2000-01-01,1,Night,Sensitive,24 months,15g,1.0,1861.0,powder,Teens,28.0,jar,Yes,None
36991,ColorSilk Rev CS PP,59255.0,Nude,23,Revlon Consumer Product Corporation,Revlon,32,Hair Coloring Products,35,Hair Dyes and Colors,656,13463-67-7,60606,Titanium dioxide,04/12/2019,04/12/2019,2000-01-01,04/12/2019,04/12/2019,2000-01-01,1,Both,Normal,36 months,50ml,3.0,1046.0,liquid,Men,16.0,jar,Yes,None
6234,Lancome Color Fever Lipstick,10627.0,Beige Everyday,67,L'Oreal USA,Lancome,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,10146,Titanium dioxide,10/23/2009,12/30/2010,2000-01-01,10/23/2009,10/23/2009,2000-01-01,1,Night,Sensitive,36 months,200ml,3.0,1956.0,gel,Children,25.0,bottle,No,Organic
911,Olay Regenerist Body Lotion,,,86,The Procter & Gamble Company,Olay,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,978,Titanium dioxide,09/15/2009,05/10/2017,04/01/2011,09/15/2009,09/15/2009,2000-01-01,1,Both,Dry,12 months,100ml,1.0,261.0,powder,Women,12.0,bottle,No,Cruelty-Free
23707,Lip Gloss - light mauve,36133.0,Light Mauve,240,GAP INC.,Old Navy,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,36202,Titanium dioxide,10/01/2014,10/01/2014,2000-01-01,10/01/2014,10/01/2014,2000-01-01,1,Both,Normal,24 months,30g,4.0,3305.0,cream,Women,28.0,tube,Yes,None
6089,L'Oreal Sublime Bronze Tinted Self-Tanning Lotion,10966.0,Deep Natural Tan,67,L'Oreal USA,L'Oreal,106,Sun-Related Products,109,Indoor Tanning Products,656,13463-67-7,9991,Titanium dioxide,10/20/2009,12/30/2010,2000-01-01,10/20/2009,10/20/2009,2000-01-01,1,Night,Oily,24 months,100ml,3.0,3416.0,cream,Men,7.0,box,No,Eco-Friendly
5053,Superlustrous Lipgloss- Peachy Sheen,,,23,Revlon Consumer Product Corporation,Revlon,44,Makeup Products (non-permanent),52,Lip Gloss/Shine,656,13463-67-7,8820,Titanium dioxide,10/15/2009,10/15/2009,10/08/2008,10/15/2009,10/15/2009,2000-01-01,1,Both,Oily,36 months,100ml,1.0,1774.0,powder,Adults,23.0,bottle,Yes,None
21497,Nail Lacquer This One's for You,,,372,American International Industries,China Glaze,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,32663,Titanium dioxide,11/15/2013,11/15/2013,2000-01-01,11/15/2013,11/15/2013,2000-01-01,1,Day,Dry,24 months,30g,4.0,859.0,powder,Adults,17.0,box,No,None
14581,ECLAT MINUTE PINCEAU PERFECTEUR / INSTANT LIGHT BRUSH-ON PERFECTOR,20536.0,TEINTE 01,22,CLARINS S.A.,CLARINS PARIS,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,22322,Titanium dioxide,07/07/2010,12/30/2010,2000-01-01,07/07/2010,07/07/2010,2000-01-01,1,Day,Normal,12 months,15g,2.0,2413.0,gel,Women,21.0,jar,No,Vegan
24226,Bronzed,,,1027,"Hand & Nail Harmony, Inc",Gelish,59,Nail Products,168,UV Gel Nail Polish,656,13463-67-7,37369,Titanium dioxide,12/15/2014,12/29/2014,2000-01-01,12/15/2014,12/15/2014,2000-01-01,1,Day,Sensitive,36 months,15g,5.0,3045.0,liquid,Children,27.0,jar,No,None
19843,MAGIX CASHMERE ADVANCED LIQUID FOUNDATION (ALL SHADES) �,,,4,New Avon LLC,AVON,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,30149,Titanium dioxide,04/16/2013,04/16/2013,2000-01-01,04/16/2013,04/16/2013,2000-01-01,1,Both,Sensitive,24 months,100ml,5.0,500.0,solid,Adults,25.0,box,No,None
26415,SEPHORA - BEAUTIFUL CRUSH,40240.0,EYESHADOWS,198,S+,SEPHORA,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,41781,Titanium dioxide,06/18/2015,06/18/2015,2000-01-01,06/18/2015,06/18/2015,2000-01-01,1,Day,Oily,12 months,200ml,4.0,1604.0,gel,Women,22.0,bottle,No,None
1792,YSL Longwear Transfer Resistant Foundation,2396.0,Honey,67,L'Oreal USA,YSL,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,2052,Titanium dioxide,09/29/2009,12/30/2010,2000-01-01,09/29/2009,09/29/2009,2000-01-01,1,Night,Oily,12 months,50ml,1.0,4743.0,cream,Women,13.0,bottle,No,None
36836,Greeting card with Trolls tattoos,,,201,"Hallmark Cards, Inc.",Hallmark,111,Tattoos and Permanent Makeup,157,Tattoos and Permanent Makeup,656,13463-67-7,60197,Titanium dioxide,03/20/2019,03/20/2019,2000-01-01,03/20/2019,03/20/2019,2000-01-01,1,Day,Normal,36 months,100ml,3.0,2116.0,powder,Children,12.0,bottle,No,Organic
780,Eyecolor,33317.0,Night Owl,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,821,Titanium dioxide,09/11/2009,09/21/2016,2000-01-01,09/11/2009,09/11/2009,2000-01-01,1,Both,Normal,24 months,200ml,3.0,4910.0,solid,Children,15.0,box,No,Eco-Friendly
8440,Savvy Nail Lacquer,13413.0,Color Lock Top Coat,374,Beauty Selectives,Savvy,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,13151,Titanium dioxide,12/14/2009,12/30/2010,2000-01-01,12/14/2009,12/14/2009,12/14/2009,1,Day,Sensitive,12 months,200ml,1.0,3602.0,cream,Women,14.0,tube,Yes,Cruelty-Free
3432,LONGWEAR KOHL EYE LINER,7539.0,BROWN KOHL,221,PRESCRIPTIVES INC.,Prescriptives,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,656,13463-67-7,6136,Titanium dioxide,10/12/2009,12/30/2010,2000-01-01,10/12/2009,10/12/2009,2000-01-01,1,Day,Sensitive,36 months,30g,4.0,2132.0,powder,Teens,12.0,box,Yes,None
34251,Magic Foundation,54123.0,5 MEDIUM,1154,Charlotte Tilbury Beauty Ltd,Charlotte Tilbury,44,Makeup Products (non-permanent),50,Foundations and Bases,656,13463-67-7,55418,Titanium dioxide,09/20/2018,09/24/2018,2000-01-01,09/20/2018,09/20/2018,2000-01-01,3,Night,Normal,24 months,200ml,4.0,4280.0,powder,Adults,24.0,box,No,Vegan
41395,5 COULEURS COUTURE High-colour eyeshadow wardrobe long-wear creamy powder palette,64788.0,579,328,Parfums Christian Dior,Parfums Christian Dior,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,67796,Titanium dioxide,04/17/2020,04/17/2020,2000-01-01,04/17/2020,04/17/2020,2000-01-01,1,Both,Normal,12 months,15g,4.0,174.0,cream,Women,29.0,box,No,Organic
26193,Curiouser & Courioser Eye Shadow Palette,,,1046,Walt Disney Parks & Resorts,Disney,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,41191,Titanium dioxide,05/04/2015,05/15/2015,04/01/2015,05/04/2015,05/04/2015,2000-01-01,1,Both,Oily,24 months,200ml,3.0,4736.0,liquid,Men,18.0,bottle,Yes,None
15001,Lipstick,20966.0,Chicory,562,The Boots Company PLC,Boots Botanics,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,22982,Titanium dioxide,08/03/2010,10/16/2013,10/21/2011,08/03/2010,10/21/2011,2000-01-01,1,Both,Dry,12 months,100ml,4.0,1215.0,liquid,Children,15.0,box,Yes,Eco-Friendly
34237,NARS Single Eyeshadow,54010.0,Privilege,352,Nars Cosmetics,NARS,44,Makeup Products (non-permanent),48,Eye Shadow,656,13463-67-7,55396,Titanium dioxide,09/19/2018,12/21/2018,2000-01-01,09/19/2018,09/19/2018,2000-01-01,1,Day,Sensitive,36 months,200ml,4.0,1117.0,powder,Children,24.0,box,No,None
4159,Sunglitz Golden Blonde Color Enhancement Shampoo,,,120,"Farouk Systems, Inc.",Sunglitz,18,Hair Care Products (non-coloring),25,Hair Shampoos (making a cosmetic claim) ,1102,0,0,Trade Secret,10/13/2009,10/13/2009,2000-01-01,10/13/2009,10/13/2009,2000-01-01,1,Both,Sensitive,24 months,15g,1.0,189.0,solid,Adults,15.0,jar,Yes,None
18609,Igniting Love Lacquer,,,372,American International Industries,China Glaze,59,Nail Products,65,Nail Polish and Enamel,656,13463-67-7,28480,Titanium dioxide,10/03/2012,10/03/2012,2000-01-01,10/03/2012,10/03/2012,2000-01-01,1,Night,Oily,24 months,50ml,3.0,1969.0,gel,Women,4.0,bottle,Yes,None
1407,Concealing Treatment Makeup SPF 20 � Neutral Sand,,,125,"NeoStrata Company, Inc.",Coverblend by Exuviance,106,Sun-Related Products,107,Sunscreen (making a cosmetic claim) ,656,13463-67-7,1545,Titanium dioxide,09/22/2009,02/17/2018,2000-01-01,09/22/2009,02/17/2018,2000-01-01,1,Both,Normal,12 months,50ml,5.0,845.0,solid,Children,7.0,box,No,None
21069,Sheer Lipstick,31696.0,bora bora,402,Caleel+Hayden,glominerals,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,32067,Titanium dioxide,10/07/2013,10/07/2013,2000-01-01,10/07/2013,10/07/2013,2000-01-01,2,Night,Dry,12 months,15g,3.0,3436.0,solid,Men,17.0,bottle,Yes,Organic
32425,SEPHORA - COLOR HIT VERNIS A ONGLES / COLOR HIT NAIL POLISH,48237.0,L131 Bikini party,198,S+,SEPHORA,59,Nail Products,65,Nail Polish and Enamel,894,14807-96-6,52207,Talc,12/12/2017,12/12/2017,2000-01-01,12/12/2017,12/12/2017,2000-01-01,4,Night,Normal,36 months,30g,3.0,3560.0,cream,Teens,26.0,jar,No,Eco-Friendly
2626,ROUGE CREAM BLUSH,4619.0,GLOW,30,"NYX Los Angeles, Inc.",NYX,44,Makeup Products (non-permanent),56,Rouges,656,13463-67-7,3998,Titanium dioxide,10/07/2009,12/30/2010,2000-01-01,10/07/2009,10/07/2009,2000-01-01,1,Both,Oily,36 months,30g,2.0,2124.0,cream,Children,20.0,jar,No,None
1120,Dual Pressed Powder,1544.0,Creamy Bisque - 401,71,"Sunrider Manufacturing, L.P.",Kandesn,44,Makeup Products (non-permanent),49,Face Powders,776,13463-67-7,1223,"Silica, crystalline (airborne particles of respirable size)",09/17/2009,09/19/2013,2000-01-01,09/17/2009,12/05/2013,12/05/2103,1,Both,Dry,12 months,100ml,1.0,707.0,liquid,Adults,7.0,box,No,None
32425,SEPHORA - COLOR HIT VERNIS A ONGLES / COLOR HIT NAIL POLISH,48231.0,L44 Resist to temptation,198,S+,SEPHORA,59,Nail Products,65,Nail Polish and Enamel,894,14807-96-6,52207,Talc,12/12/2017,12/12/2017,2000-01-01,12/12/2017,12/12/2017,2000-01-01,4,Both,Oily,24 months,30g,3.0,3560.0,cream,Teens,26.0,jar,No,Eco-Friendly
21888,Prevage Anti-Aging Moisture Cream SPF 30,,,69,"Elizabeth Arden, Inc.",Prevage,90,Skin Care Products ,92,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),656,13463-67-7,33294,Titanium dioxide,12/27/2013,01/19/2017,2000-01-01,12/27/2013,12/27/2013,2000-01-01,1,Both,Oily,24 months,50ml,4.0,4443.0,cream,Children,18.0,tube,Yes,Eco-Friendly
31114,Statement Matte Liquid Lipcolor,47302.0,Flawless,84,"Bare Escentuals Beauty, Inc.",bareMinerals,44,Makeup Products (non-permanent),53,"Lip Color - Lipsticks, Liners, and Pencils",656,13463-67-7,50502,Titanium dioxide,07/12/2017,07/12/2017,2000-01-01,07/12/2017,07/12/2017,2000-01-01,1,Both,Sensitive,12 months,100ml,5.0,961.0,powder,Women,28.0,jar,Yes,None
15857,Snow Globe Soap,,,626,Lush Manufacturing Ltd.,Lush Handmade Cosmetics,6,Bath Products,159,Body Washes and Soaps,656,13463-67-7,24262,Titanium dioxide,12/20/2010,12/20/2010,2000-01-01,12/20/2010,12/20/2010,2000-01-01,1,Day,Dry,24 months,15g,3.0,2728.0,powder,Men,11.0,bottle,No,None
2583,Eyeliner Pencil,4791.0,Charcoal,164,Palladio Beauty Group,Palladio,44,Makeup Products (non-permanent),46,Eyeliner/Eyebrow Pencils,894,14807-96-6,60382,Talc,10/07/2009,04/09/2019,2000-01-01,04/09/2019,04/09/2019,2000-01-01,3,Both,Normal,12 months,50ml,2.0,4896.0,powder,Women,13.0,box,Yes,None
19405,Bath & Shower Gel,29225.0,Geranium,887,"Demeter Fragrance Library, Inc.",Demeter,6,Bath Products,159,Body Washes and Soaps,162,68603-42-9,29497,Cocamide diethanolamine,02/04/2013,02/04/2013,2000-01-01,02/04/2013,02/04/2013,2000-01-01,1,Night,Oily,12 months,15g,4.0,2155.0,liquid,Women,11.0,box,Yes,None
14848,Vitamin E Cream,,,704,Natural Wealth,Natural Wealth,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),759,13463-67-7,22673,"Mineral oils, untreated and mildly treated",07/23/2010,07/23/2010,2000-01-01,07/23/2010,07/23/2010,2000-01-01,1,Day,Sensitive,24 months,50ml,1.0,2954.0,cream,Teens,2.0,bottle,Yes,None
5244,TRUE GLOW RADIANT BODY LOTION �,,,4,New Avon LLC,AVON,90,Skin Care Products ,102,Skin Moisturizers (making a cosmetic claim),656,13463-67-7,9070,Titanium dioxide,10/15/2009,10/01/2013,12/31/2009,10/15/2009,10/15/2009,2000-01-01,1,Day,Normal,24 months,15g,5.0,3578.0,gel,Women,19.0,tube,No,None
